"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"11","Martin Dairy",2022,"Weed Occurrence",976,NA,NA,NA,"Medium","Japanese Honeysuckle","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,1,2022-12-21 00:00:00,"Cut stump and foliar of NNIS focusing on LOJA","Ripple EcoSolutions",1,"Backpack Spray","Triclopyr","Cut Stump","Glyphosate",NA,"Yes",2023-02-28 00:00:00,"51-75%",2023-03-13 09:39:34,"ncurtis1",2023-03-13 09:39:34,"ncurtis1","Poly",NA,NA,"Neil","{b7909f05-58e6-4dbc-9cd9-3937a2fef108}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"12","Martin Dairy",2021,"Vegetation Issue",138,"Low Stem Density","Potentially low stem density and diversity- mostly sycamores. Will evaluate September 2021. Ring sprays in spring 2021",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2021-06-18 00:00:00,"ring sprays","Native Roots",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,"76-100%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Neil","{617016ea-6693-48f6-8d8a-4157ac75059e}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"13","Martin Dairy",2021,"Weed Occurrence",137,NA,"Competing with planted trees",NA,"Medium","Johnson Grass","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2021-06-18 00:00:00,"glypho 3%","Native Roots",NA,"Backpack Spray",NA,NA,NA,NA,NA,2036-02-05 01:28:16,"51-75%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Neil","{52b65e91-acd7-4e4a-a6fb-1c7c3e63a11d}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"14","Martin Dairy",2021,"Weed Occurrence",137,NA,"Competing with planted trees",NA,"Medium","Johnson Grass","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2021-09-24 00:00:00,"Joe and Neil. 3% glyphosate solution",NA,NA,"Backpack Spray","Glyphosate",NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Neil","{52b65e91-acd7-4e4a-a6fb-1c7c3e63a11d}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"15","Martin Dairy",2021,"Weed Occurrence",136,NA,"ground cover. treat Early March 2022",NA,"Low","Japanese Honeysuckle","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Neil","{b7bd968b-c1f6-4f68-9dca-811f25dd3099}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"16","Martin Dairy",2021,"Weed Occurrence",74,NA,NA,NA,"Low","Callery Pear","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2021-09-24 00:00:00,"Carlynn",NA,NA,"Cut Stump","Triclopyr",NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:53,"lcostes",2023-01-05 17:32:53,"lcostes","Point",NA,NA,"Neil","{76eef1d2-ea78-4956-a982-4f0941c2ff13}",2023-01-05 17:32:00,"lcostes",2023-03-13 09:32:33,"ncurtis1"
"17","Martin Dairy",2021,"Weed Occurrence",74,NA,NA,NA,"Low","Callery Pear","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,0,2023-06-27 00:00:00,"Cut stump of pear and privet, Neil and Lemon workday",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-14 15:02:41,"ncurtis1",2023-07-14 15:02:41,"ncurtis1","Point",NA,NA,"Neil","{76eef1d2-ea78-4956-a982-4f0941c2ff13}",2023-01-05 17:32:00,"lcostes",2023-03-13 09:32:33,"ncurtis1"
"18","Martin Dairy",2021,"Weed Occurrence",71,NA,"one small stem",NA,"Low","Callery Pear","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,1,2021-09-24 00:00:00,"Carlynn",NA,NA,"Cut Stump","Triclopyr",NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:53,"lcostes",2023-01-05 17:32:53,"lcostes","Point",NA,NA,"Neil","{8391a843-4757-469b-bc67-fe43389561fc}",2023-01-05 17:32:00,"lcostes",2023-01-05 17:32:00,"lcostes"
"19","Martin Dairy",2021,"Weed Occurrence",71,NA,"one small stem",NA,"Low","Callery Pear","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,0,2023-06-27 00:00:00,"Cut stump, Neil and Lemon work day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-14 15:01:17,"ncurtis1",2023-07-14 15:01:17,"ncurtis1","Point",NA,NA,"Neil","{8391a843-4757-469b-bc67-fe43389561fc}",2023-01-05 17:32:00,"lcostes",2023-01-05 17:32:00,"lcostes"
"20","Martin Dairy",2021,"Weed Occurrence",75,NA,"intertwined with tree. treat early March 2022",NA,"Low","Multiflora Rose","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,0,2022-06-15 00:00:00,"Cut stump multiflora rose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-14 15:04:48,"ncurtis1",2023-07-14 15:04:48,"ncurtis1","Point",NA,NA,"Neil","{a608fc2d-2446-474a-9a4e-ba4502274d41}",2023-01-05 17:32:00,"lcostes",2023-01-05 17:32:00,"lcostes"
"21","Martin Dairy",2021,"Weed Occurrence",75,NA,"intertwined with tree. treat early March 2022",NA,"Low","Multiflora Rose","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,0,2023-06-27 00:00:00,"Cut stump multiflora rose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-14 15:22:13,"ncurtis1",2023-07-14 15:22:13,"ncurtis1","Point",NA,NA,"Neil","{a608fc2d-2446-474a-9a4e-ba4502274d41}",2023-01-05 17:32:00,"lcostes",2023-01-05 17:32:00,"lcostes"
"22","Martin Dairy",2021,"Weed Occurrence",72,NA,"climbing trees",NA,"Medium","Japanese Honeysuckle","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{df0418b4-fe6a-4dfc-a92c-5c925e86d9c3}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"23","Martin Dairy",2021,"Weed Occurrence",73,NA,"One clump",NA,"Low","Multiflora Rose","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{2a93d3b9-fe26-4ba9-a11e-66a160fe9e0e}",4582373-03-18 20:00:00,"lcostes",4649985-07-31 20:00:00,"ncurtis1"
"24","Martin Dairy",2021,"Weed Occurrence",76,NA,NA,NA,"Low","Multiflora Rose","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{3dbf2e4e-dffe-4484-a085-c8e2bd921de4}",4582373-03-18 20:00:00,"lcostes",4598133-12-06 19:00:00,"ncurtis1"
"25","Martin Dairy",2021,"Weed Occurrence",77,NA,"dense groundcover",NA,"Medium","Japanese Honeysuckle","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{b0aa188c-c3c6-4d47-bbfd-d7453ddd7216}",4582373-03-18 20:00:00,"lcostes",4598133-09-17 20:00:00,"ncurtis1"
"26","Martin Dairy",2021,"Weed Occurrence",78,NA,"in trees. treat early March 2022",NA,"Low","Japanese Honeysuckle","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{9dfb5d5c-435b-416d-9340-6fe7568b144a}",4582373-03-18 20:00:00,"lcostes",4598133-12-21 19:00:00,"ncurtis1"
"27","Martin Dairy",2021,"Weed Occurrence",79,NA,"in trees",NA,"Low","Japanese Honeysuckle","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{4fa41a65-7d90-4108-a1ac-ccc6c5c13855}",4582373-03-18 20:00:00,"lcostes",4598134-01-04 19:00:00,"ncurtis1"
"28","Martin Dairy",2021,"Weed Occurrence",80,NA,"in veg plot. treat early march 2022",NA,"Low","Japanese Honeysuckle","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{3c2ba226-6c32-41a1-9394-f26bc63b37ee}",4582373-03-18 20:00:00,"lcostes",4598134-01-17 19:00:00,"ncurtis1"
"29","Martin Dairy",2021,"Weed Occurrence",81,NA,"climbing trees. treat early March 2022",NA,"Low","Japanese Honeysuckle","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{57c21832-62b7-4b7c-ad0e-046df4da7165}",4582373-03-18 20:00:00,"lcostes",4598134-01-30 19:00:00,"ncurtis1"
"30","Martin Dairy",2020,"Weed Occurrence",70,NA,"dense. Nasty. foliar in early March 2022",NA,"Low","Chinese Privet","26-50%","Multiflora Rose","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{3f436f04-8c00-415e-a69a-dc5b2ae42959}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
