"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"11","Banner Farm",2023,"Failed Structure",1770,"Piping","Piping under possibly due to low flow, left bank erosion ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,2,2023-11-21 00:00:00,"fixed water piping around left bank by closing up large hole with silt, sand, and various sizes of rock. Added juncus plug to bank. Radecki and Joe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-29 16:47:49,"jlovenshimer",2023-11-29 16:47:49,"jlovenshimer","Point",NA,NA,"Joe","{23b2ddc4-c117-4daa-8734-22bbe03a5d6a}",2023-11-02 13:46:53,"wlasheville2",2023-11-29 16:41:11,"jlovenshimer"
"12","Banner Farm",2023,"Failed Structure",1639,"Piping","large log sill with no water flowing over it. All water is flowing cleanly underneath in the center. The fabric is dislodged completely in the center. Gap under log is at least 6-12""","Grade Control Structure","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-11-21 00:00:00,"Added new footer log to seal gap and new filter fabric nailed to the sill. Added class A stone plus various sizes of bagged river rock to the filter fabric to hold it down. Sealed piping hole on left bank. Radecki and Joe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-29 16:52:33,"jlovenshimer",2023-11-29 16:52:33,"jlovenshimer","Point",NA,NA,"Joe","{e3e4d9ce-f5d3-425f-b4ae-78d2c9298835}",2023-09-27 16:54:41,"jlovenshimer",2023-11-29 16:40:36,"jlovenshimer"
"13","Banner Farm",2023,"Vegetation Issue",1057,"Low Stem Density","Area heavily impacted by stream dynamism. No original planting other than river cane here. Plantings are for stability.",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,2,2023-02-21 00:00:00,"planted ~75-100 black willow and silky dogwood live stakes on stream bank and floodplain.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-22 09:42:17,"jlovenshimer",2023-02-22 09:42:17,"jlovenshimer","Poly",NA,NA,"Joe","{70a495b7-3ec0-4be5-8ac4-a6060f22af50}",2023-02-22 09:40:59,"jlovenshimer",2023-02-22 09:42:31,"jlovenshimer"
"14","Banner Farm",2023,"Vegetation Issue",1052,"Low Stem Density","Trees were destroyed (!) during fall 2022 repairs. Area was seeded with riparian mix post repair",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,2,2023-02-03 00:00:00,"~100 - 125 bare root trees and ~ 75 live stakes were planted by WEI staff.",NA,1,NA,NA,NA,NA,NA,NA,2023-02-14 00:00:00,NA,2023-02-14 11:01:02,"jlovenshimer",2023-02-14 11:01:02,"jlovenshimer","Poly",NA,NA,"Joe","{726128a9-a16d-4a6e-a7ab-ea627aa44c9a}",2023-02-14 10:59:56,"jlovenshimer",2023-08-31 13:01:50,"wlasheville2"
"15","Banner Farm",2023,"Vegetation Issue",1052,"Low Stem Density","Trees were destroyed (!) during fall 2022 repairs. Area was seeded with riparian mix post repair",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,2,2023-07-18 00:00:00,"Added some millet and buckwheat seed plus compost tea.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-03 16:31:47,"jlovenshimer",2023-08-03 16:31:47,"jlovenshimer","Poly",NA,NA,"Joe","{726128a9-a16d-4a6e-a7ab-ea627aa44c9a}",2023-02-14 10:59:56,"jlovenshimer",2023-08-31 13:01:50,"wlasheville2"
"16","Banner Farm",2023,"Vegetation Issue",1256,"Bare Areas & Low Stem Density","~50% groundcover and no/few observed trees",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-07-18 00:00:00,"Cover crop seed heavy with millet and buckwheat. Sprayed compost tea. Joe",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-03 16:29:51,"jlovenshimer",2023-08-03 16:29:51,"jlovenshimer","Poly",NA,NA,"Joe","{ad6684e7-b57f-4560-885e-73b1af4f48d3}",2023-08-03 16:20:38,"jlovenshimer",2023-08-03 16:20:38,"jlovenshimer"
"17","Banner Farm",2023,"Vegetation Issue",1256,"Bare Areas & Low Stem Density","~50% groundcover and no/few observed trees",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-10-10 00:00:00,"Seeded and strawed. Seed mix consisted of winter wheat and oats with ladino and crimson clovers plus a bunch of native spp. See Joe for full list.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-10 15:48:44,"jlovenshimer",2023-10-10 15:48:44,"jlovenshimer","Poly",NA,NA,"Joe","{ad6684e7-b57f-4560-885e-73b1af4f48d3}",2023-08-03 16:20:38,"jlovenshimer",2023-08-03 16:20:38,"jlovenshimer"
"18","Banner Farm",2023,"Vegetation Issue",1297,"Low Stem Density","Larger area of low steam density represented by VP5 and MP3 (MY2)",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{4446b40c-d6ff-44b6-aede-d3e159e16f16}",4638610-10-16 20:00:00,"wlasheville2",4645042-07-23 20:00:00,"jlovenshimer"
"19","Banner Farm",2023,"Vegetation Issue",1298,"Low Stem Density","Narrow area of low stem density represented by MP9 (MY2) and MP7 (MY1)",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{b9919c19-6370-4cd6-8b65-8de37841fce4}",4638628-03-22 20:00:00,"wlasheville2",4638628-05-10 20:00:00,"wlasheville2"
"20","Banner Farm",2023,"Vegetation Issue",1300,"Low Stem Density","Area of low stem density represented by MP6 (MY2) and MP5 (MY1)",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{dbac2c3e-dbae-4619-82de-b10fed25e4de}",4638645-10-20 20:00:00,"wlasheville2",4638645-12-14 19:00:00,"wlasheville2"
"21","Banner Farm",2023,"Vegetation Issue",1346,"Low Stem Density","site of recent mowing encroachment. Lacks trees.. Plan to add ~15-20 stems",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{2af41f0c-1f83-40ca-8989-9dccd4ea63ff}",4648108-12-21 19:00:00,"jlovenshimer",4648108-12-21 19:00:00,"jlovenshimer"
"22","Banner Farm",2023,"Weed Occurrence",1058,NA,"Garden variety weeds.",NA,"Low","Chinese Privet","1-5%","Multiflora Rose","1-5%","Japanese Honeysuckle","1-5%","Callery Pear","1-5%",NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,1,2023-03-09 00:00:00,"foliar and cut stump before bud burst of most natives","Ecoforesters",1,"Backpack Spray","Triclopyr","Cut Stump","Glyphosate",NA,NA,2023-03-28 00:00:00,"76-100%",2023-03-29 09:24:53,"jlovenshimer",2023-03-29 09:24:53,"jlovenshimer","Poly",NA,NA,"Joe","{b59965e9-7034-4136-a679-a1845a825547}",2023-02-22 09:54:29,"jlovenshimer",2023-02-22 09:54:29,"jlovenshimer"
"23","Banner Farm",2022,"5",345,NA,"Add post and extender",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{9a915d08-390d-46a4-a484-e2132368e441}",4582373-03-18 20:00:00,"lcostes",4619896-01-20 19:00:00,"lcostes"
"24","Banner Farm",2022,"Boundary Issue",929,"Mowing","Scallop into CE. About 5’ at max",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes",NA,NA,1,2023-01-24 00:00:00,"strung horse tape- Joe. Previously talked to Kirby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-30 11:38:06,"jlovenshimer",2023-01-30 11:38:06,"jlovenshimer","Line",NA,NA,"Joe","{04089630-4c2c-45ff-8998-628df1db707a}",2023-01-05 17:32:21,"lcostes",2023-01-30 11:37:08,"jlovenshimer"
"25","Banner Farm",2022,"Boundary Issue",783,NA,"Spray onto CE to clear small garden. 2/14/2023 UPDATE- garden area was cleared after discussing with LO. Wooden stakes outline approx. CE boundary.",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-05-31 00:00:00,"Added two signs along boundary within garden area. Current garden is outside of CE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-02 16:20:51,"jlovenshimer",2023-06-02 16:20:51,"jlovenshimer","Line",NA,NA,"Joe","{71c8795b-4115-4cdc-b56f-1d432d4dd2f7}",2023-01-05 17:32:21,"lcostes",2023-02-14 10:45:56,"jlovenshimer"
"26","Banner Farm",2022,"Boundary Issue",774,NA,"Soil pushed into CE from ag field across road ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,1,2022-05-11 00:00:00,"Landowner removed piles without us calling. Gerald's crew delineated the boundary with more posts, signs, extenders, and horse tape","WLC- Gerald",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,"na",2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes","Line",NA,NA,"Joe","{7b935769-9027-4f83-88e5-6331c7155136}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
"27","Banner Farm",2022,"CE Encroachment",1002,"Mowing","Recent mowing into CE- observed 11/3/22. ~40-50 mowed trees. Needs replanting.",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,3,2022-11-03 00:00:00,"Mimi and Joe contacted Kirby Johnson on 11/3/2022 when the mowing was observed. They showed him the correct boundary and discussed how to stay out in the future. Kirby's staff strung plastic string between posts. Mimi and Joe strung sturdier polywire.",NA,NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Joe","{212eb885-6475-44c4-a154-2e7ce692a569}",2023-01-05 17:32:36,"lcostes",2023-02-14 10:55:27,"jlovenshimer"
"28","Banner Farm",2022,"CE Encroachment",1002,"Mowing","Recent mowing into CE- observed 11/3/22. ~40-50 mowed trees. Needs replanting.",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,3,2023-02-03 00:00:00,"~50 trees were planted by WEI staff",NA,1,NA,NA,NA,NA,NA,NA,2023-02-14 00:00:00,NA,2023-02-14 10:57:02,"jlovenshimer",2023-02-14 10:57:02,"jlovenshimer","Poly",NA,NA,"Joe","{212eb885-6475-44c4-a154-2e7ce692a569}",2023-01-05 17:32:36,"lcostes",2023-02-14 10:55:27,"jlovenshimer"
"29","Banner Farm",2022,"CE Encroachment",1001,"Mowing","Recent mowing in CE- observed 11/3/2022. ~50-75 trees mowed. Needs replanting ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,3,2022-11-03 00:00:00,"Mimi and Joe contacted Kirby Johnson on 11/3/2022 when the mowing was observed. They showed him the correct boundary and discussed how to stay out in the future. Kirby's staff strung plastic string between posts. Mimi and Joe strung sturdier polywire.",NA,NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Joe","{dbb98904-aeff-4261-b5ef-a80e69910481}",2023-01-05 17:32:36,"lcostes",2023-02-14 10:56:20,"jlovenshimer"
"30","Banner Farm",2022,"CE Encroachment",1001,"Mowing","Recent mowing in CE- observed 11/3/2022. ~50-75 trees mowed. Needs replanting ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,3,2023-02-03 00:00:00,"~ 50 - 75 trees were planted by WEI staff",NA,1,NA,NA,NA,NA,NA,NA,2023-02-14 00:00:00,NA,2023-02-14 10:55:02,"jlovenshimer",2023-02-14 10:55:02,"jlovenshimer","Poly",NA,NA,"Joe","{dbb98904-aeff-4261-b5ef-a80e69910481}",2023-01-05 17:32:36,"lcostes",2023-02-14 10:56:20,"jlovenshimer"
"31","Banner Farm",2022,"Failed Structure",350,NA,"Water cutting around rock. 9/28/22- piping around left side. No erosion. No real issue ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{1be3cef5-a473-4b2c-8695-3a58eae5ce64}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"32","Banner Farm",2022,"In-Stream Vegetation",873,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,3,2022-07-22 09:00:00,"In stream veg spray","WEI Staff",NA,NA,NA,NA,NA,NA,NA,2022-07-22 09:00:00,"na",2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes","Line","26-50%",NA,"Joe","{a78aa8cc-ec9e-4980-922a-767955284b37}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
"33","Banner Farm",2022,"Vegetation Issue",645,NA,"large floodplain pool with sparse vegetation",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,2,2022-09-01 00:00:00,"Mimi and Joe planted about 500 wetland plugs in the pool and surrounded area",NA,NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Joe","{1d11bd40-45e8-4584-b733-0cdf72a28755}",2023-01-05 17:32:36,"lcostes",2023-10-24 09:00:27,"jlovenshimer"
"34","Banner Farm",2022,"Vegetation Issue",645,NA,"large floodplain pool with sparse vegetation",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,2,2023-02-03 00:00:00,"~75 silky willow, buttonbush, and elderberry live stakes and whips were planted in clusters (mostly) by WEI staff",NA,1,NA,NA,NA,NA,NA,NA,2023-02-14 00:00:00,NA,2023-02-14 11:02:35,"jlovenshimer",2023-02-14 11:02:35,"jlovenshimer","Poly",NA,NA,"Joe","{1d11bd40-45e8-4584-b733-0cdf72a28755}",2023-01-05 17:32:36,"lcostes",2023-10-24 09:00:27,"jlovenshimer"
"35","Banner Farm",2022,"Weed Occurrence",959,NA,"All mixed together. Will not be fun to treat. Foliar multiflora. Cut stump everything else ",NA,"Medium","Oriental Bittersweet","6-25%","Multiflora Rose","6-25%","Chinese Privet","6-25%","Callery Pear","6-25%",NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-03-09 00:00:00,"Variety of treatment methods","Ecoforesters",1,"Backpack Spray","Triclopyr","Cut Stump","Triclopyr",NA,NA,NA,NA,2023-03-17 15:23:13,"jlovenshimer",2023-03-17 15:23:13,"jlovenshimer","Poly",NA,NA,"Joe","{7a770359-8b8d-4f33-beca-a361301ddaac}",2023-01-05 17:32:36,"lcostes",2023-03-17 15:22:25,"jlovenshimer"
"36","Banner Farm",2022,"Weed Occurrence",950,NA,"Few medium sized trees ",NA,"Low","Callery Pear","6-25%","Chinese Privet","6-25%","Japanese Honeysuckle","6-25%","Multiflora Rose","6-25%",NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-03-09 00:00:00,"Probably mostly foliar with some cut stump","Ecoforesters",1,"Backpack Spray","Triclopyr","Cut Stump","Triclopyr",NA,NA,NA,NA,2023-03-17 15:27:11,"jlovenshimer",2023-03-17 15:27:11,"jlovenshimer","Poly",NA,NA,"Joe","{ea7d9da2-d89f-43f3-b787-4be5f14e13fb}",2023-01-05 17:32:36,"lcostes",2023-03-17 15:46:20,"jlovenshimer"
"37","Banner Farm",2022,"Weed Occurrence",505,NA,"Giant patch ",NA,"Medium","Multiflora Rose","51-75%","Chinese Privet","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-03-09 00:00:00,NA,"Ecoforesters",NA,"Cut Stump","Triclopyr","Backpack Spray","Triclopyr",NA,NA,NA,NA,2023-03-17 15:22:09,"jlovenshimer",2023-03-17 15:22:09,"jlovenshimer","Point",NA,NA,"Joe","{2a51c382-68af-4b24-8ecc-13d2b4e70f41}",2023-01-05 17:32:00,"lcostes",2023-03-17 15:21:18,"jlovenshimer"
"38","Banner Farm",2022,"Weed Occurrence",879,NA,"Cut stump or foliar ",NA,"Low","Chinese Privet","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,1,2023-03-09 00:00:00,NA,"Ecoforesters",1,"Backpack Spray","Glyphosate",NA,NA,NA,NA,NA,NA,2023-03-17 15:24:14,"jlovenshimer",2023-03-17 15:24:14,"jlovenshimer","Point",NA,NA,"Joe","{af09f04f-8be8-4786-8f7c-dc69b96f83ee}",2023-01-05 17:32:00,"lcostes",2023-03-17 15:23:47,"jlovenshimer"
"39","Banner Farm",2022,"Weed Occurrence",348,NA,NA,NA,"Low","Chinese Silvergrass","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{512b85f5-8b0b-40f2-9720-58512f97fd49}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"40","Banner Farm",2022,"Weed Occurrence",349,NA,"8 clumps. Foliar ",NA,"Low","Chinese Silvergrass","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{74e1ec28-755b-4286-bb29-777e27ab1164}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"41","Banner Farm",2022,"Weed Occurrence",504,NA,NA,NA,"Low","Callery Pear","51-75%","Multiflora Rose","26-50%",NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{e454b186-be58-4f04-9a1a-4ed9dd21c2b1}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
